学年,学期,课程代码,课程名称,课程性质,课程归属,学分,平时成绩,期中成绩,期末成绩,实验成绩,成绩,补考成绩,是否重修,开课学院,绩点,备注,补考备注
2016-2017,1,TX032008,美国对外政策史,通识选修课程,历史与哲学,2.00,75, ,68, ,70, , ,社会学院,2.30, , 
2016-2017,1,00451102,敬文讲堂文化传承系列讲座,公共选修课程,人文艺术类,2.00,85,83,84, ,B, , ,敬文书院, , , 
2016-2017,1,COMS1012,Python程序设计,大类基础课程, ,5.00, , , , ,90, , ,计算机科学与技术学院,3.80, , 
2016-2017,1,SOEN1012,软件工程概论,大类基础课程, ,2.00,90,86,72, ,78, , ,计算机科学与技术学院,3.10, , 
2016-2017,1,00041007,翻译与英语写作,公共基础课程, ,2.00,85,81,83, ,83, , ,敬文书院,3.50, , 
2016-2017,1,00071012,高等数学（一）上,公共基础课程, ,5.00,95,63,81, ,78, , ,大学数学部,3.10, , 
2016-2017,1,00061001,公共体育（一）,公共基础课程, ,1.00, , ,80, ,B, , , , , , 
2016-2017,1,00351003,军事技能,公共基础课程, ,1.00, , ,87, ,B, , ,军事教研室, , , 
2016-2017,1,00021013,思想道德修养与法律基础,公共基础课程, ,3.00,70, ,56,60,D, , ,马克思主义学院, , , 
2016-2017,1,00071004,线性代数,公共基础课程, ,3.00,85,65,70, ,72, , ,大学数学部,2.50, , 
2016-2017,1,00021034,形势与政策,公共基础课程, ,2.00,20, ,11.8, ,F, , ,马克思主义学院, , , 
2016-2017,1,00041005,英语高级视听,公共基础课程, ,2.00,90,77,91, ,88, , ,敬文书院,3.70, , 
2016-2017,1,00361005,职业生涯规划指导（上）,公共基础课程, ,0.50, , ,C, ,C, , ,学生创新创业教育中心, , , 
2016-2017,2,TX022002,西方哲学经典著作导读,通识选修课程,历史与哲学,2.00,90, ,90, ,90, , ,政治与公共管理学院,3.80, , 
2016-2017,2,00451101,敬文讲堂艺术审美系列讲座,公共选修课程,人文艺术类,2.00,80, ,83,85,B, , ,敬文书院, , , 
2016-2017,2,YT271003,从逻辑到软件,新生研讨课程,新生研讨,2.00,50, ,80, ,71, , ,计算机科学与技术学院,2.40, , 
2016-2017,2,SOEN2007,面向对象与JAVA程序设计,大类基础课程, ,3.50,90,92,84,90,87, , ,计算机科学与技术学院,3.70, , 
2016-2017,2,00071005,概率统计,公共基础课程, ,3.00,85,82,71, ,77, , ,大学数学部,3, , 
2016-2017,2,00071013,高等数学（一）下,公共基础课程, ,5.00,95,70,58, ,69, , ,大学数学部,2.20, , 
2016-2017,2,00061002,公共体育（二）,公共基础课程, ,1.00, , ,80, ,B, , , , , , 
2016-2017,2,00081002,普通物理（二）（上）,公共基础课程, ,4.00,80,65,72, ,72, , ,大学物理部,2.50, , 
2016-2017,2,00041029,英语高级口语（一）,公共基础课程, ,2.00,90,88,86, ,88, , ,敬文书院,3.70, , 
2016-2017,2,00021015,中国近现代史纲要,公共基础课程, ,2.00, , , , ,B, , ,马克思主义学院, , , 
2016-2017,2,SOEN3009,暑期工业实践（一）,专业必修课程, ,2.00, , ,93, ,93, , ,计算机科学与技术学院,3.90, , 
2017-2018,1,TX095002,生活中的高分子材料,通识选修课程,科技与发展,2.00,65, ,85, ,79, , ,材料与化学化工学部,3.20, , 
2017-2018,1,COMS2022,离散数学,大类基础课程, ,4.00,80,71,64, ,67, , ,计算机科学与技术学院,2, , 
2017-2018,1,SOEN2026,数据结构,大类基础课程, ,5.00,90,91,90,85,90, , ,计算机科学与技术学院,3.80, , 
2017-2018,1,00041032,二外（日语）,公共基础课程, ,2.00,100,91,72, ,81, , ,敬文书院,3.30, , 
2017-2018,1,00061007,公共体育（三）,公共基础课程, ,1.00, , ,77, ,C, , , , , , 
2017-2018,1,00351001,军事理论,公共基础课程, ,2.00,85, ,81, ,B, , ,军事教研室, , , 
2017-2018,1,00081003,普通物理（二）（下）,公共基础课程, ,4.00,75,50,69, ,66, , ,大学物理部,1.80, , 
2017-2018,1,00081010,普通物理实验,公共基础课程, ,1.00,76, ,70, ,74, , ,大学物理部,2.70, , 
2017-2018,1,00041030,英语高级口语（二）,公共基础课程, ,2.00,85,87,90, ,88, , ,敬文书院,3.70, , 
2017-2018,1,SOEN2015,软件需求工程,专业必修课程, ,2.00,80,68,68,82,73, , ,计算机科学与技术学院,2.60, , 
2017-2018,2,TX285002,一卡通与生活,通识选修课程,科技与发展,2.00,95, ,95, ,95, , ,电子信息学院,4, , 
2017-2018,2,00451104,敬文讲堂创新探索系列讲座,公共选修课程,自然科学类,2.00,88, ,89, ,B, , ,敬文书院, , , 
2017-2018,2,SOEN2008,计算机硬件基础,大类基础课程, ,4.50,50,87,88,85,84, , ,计算机科学与技术学院,3.50, , 
2017-2018,2,00071005,概率统计,公共基础课程, ,3.00,95,75,66, ,75, ,是,大学数学部,2.80, , 
2017-2018,2,00071013,高等数学（一）下,公共基础课程, ,5.00,100,64,54, ,66, ,是,大学数学部,1.80, , 
2017-2018,2,00061008,公共体育（四）,公共基础课程, ,1.00, , ,77, ,C, , , , , , 
2017-2018,2,00021030,毛泽东思想和中国特色社会主义理论体系概论,公共基础课程, ,4.00,63, ,85,82,B, , ,马克思主义学院, , , 
2017-2018,2,SOEN2009,软件系统分析与设计,专业必修课程, ,4.00,92,72,77, ,78, , ,计算机科学与技术学院,3.10, , 
2017-2018,2,COMS2038,数据库课程实践,专业必修课程, ,2.00,95, , ,98,97, , ,计算机科学与技术学院,4, , 
2017-2018,2,COMS2037,数据库原理与设计,专业必修课程, ,2.00,100,91,98, ,97, , ,计算机科学与技术学院,4, , 
